timestamp,temp_C,humidity,eco2_ppm,tvoc
2026-03-23T22:18:00Z,22.86,51.17,1182.2,144.5
2026-03-23T22:18:10Z,22.86,51.17,1183.7,144.0
2026-03-23T22:18:20Z,22.86,51.14,1179.8,143.6
2026-03-23T22:18:30Z,22.87,51.11,1179.9,142.5
2026-03-23T22:18:40Z,22.87,51.12,1178.3,143.4
2026-03-23T22:18:50Z,22.84,51.10,1177.2,144.6
2026-03-23T22:19:00Z,22.84,51.09,1177.2,146.1
2026-03-23T22:19:10Z,22.81,51.12,1169.8,144.7
2026-03-23T22:19:20Z,22.84,51.15,1166.6,146.5
2026-03-23T22:19:30Z,22.82,51.11,1167.3,145.6
2026-03-23T22:19:40Z,22.82,51.06,1167.1,145.7
2026-03-23T22:19:50Z,22.83,51.03,1170.7,144.8
2026-03-23T22:20:00Z,22.84,51.05,1170.3,146.9
2026-03-23T22:20:10Z,22.83,51.00,1167.5,147.9
2026-03-23T22:20:20Z,22.86,50.93,1167.6,148.1
2026-03-23T22:20:30Z,22.86,50.86,1171.0,147.1
2026-03-23T22:20:40Z,22.87,50.82,1170.8,146.3
2026-03-23T22:20:50Z,22.87,50.76,1174.7,146.2
2026-03-23T22:21:00Z,22.88,50.81,1173.6,146.2
2026-03-23T22:21:10Z,22.88,50.83,1171.0,146.7
2026-03-23T22:21:20Z,22.88,50.91,1172.5,148.0
2026-03-23T22:21:30Z,22.87,50.85,1174.3,147.7
2026-03-23T22:21:40Z,22.90,50.89,1177.6,147.1
2026-03-23T22:21:50Z,22.88,50.90,1175.2,146.2
2026-03-23T22:22:00Z,22.87,50.93,1179.4,146.9
2026-03-23T22:22:10Z,22.89,50.92,1175.8,146.9
2026-03-23T22:22:20Z,22.88,50.99,1178.2,148.4
2026-03-23T22:22:30Z,22.90,50.89,1181.7,148.5
2026-03-23T22:22:40Z,22.90,50.88,1183.0,148.3
2026-03-23T22:22:50Z,22.91,50.89,1181.1,148.4
2026-03-23T22:23:00Z,22.89,50.93,1181.5,147.2
2026-03-23T22:23:10Z,22.88,50.96,1179.2,146.7
2026-03-23T22:23:20Z,22.90,50.93,1179.8,146.8
2026-03-23T22:23:30Z,22.90,50.93,1181.2,148.6
2026-03-23T22:23:40Z,22.91,50.99,1185.6,149.0
2026-03-23T22:23:50Z,22.93,51.01,1186.2,149.5
2026-03-23T22:24:00Z,22.90,50.93,1187.0,149.3
2026-03-23T22:24:10Z,22.89,50.95,1187.3,148.5
2026-03-23T22:24:20Z,22.87,50.91,1189.8,147.6
2026-03-23T22:24:30Z,22.88,50.95,1187.6,148.0
2026-03-23T22:24:40Z,22.89,50.95,1187.4,148.7
2026-03-23T22:24:50Z,22.90,50.96,1188.9,150.3
2026-03-23T22:25:00Z,22.92,50.99,1183.7,150.5
2026-03-23T22:25:10Z,22.92,51.02,1182.4,150.7
2026-03-23T22:25:20Z,22.92,51.02,1180.6,150.8
2026-03-23T22:25:30Z,22.90,50.93,1180.4,151.1
2026-03-23T22:25:40Z,22.91,50.93,1180.5,151.8
2026-03-23T22:25:50Z,22.89,50.96,1181.4,150.4
2026-03-23T22:26:00Z,22.89,50.90,1182.1,151.6
2026-03-23T22:26:10Z,22.89,51.01,1184.3,151.4
2026-03-23T22:26:20Z,22.89,51.06,1184.7,149.7
2026-03-23T22:26:30Z,22.87,51.03,1183.9,149.2
2026-03-23T22:26:40Z,22.87,51.07,1186.4,148.8
2026-03-23T22:26:50Z,22.90,51.16,1186.8,150.8
2026-03-23T22:27:00Z,22.90,51.16,1185.9,150.5
2026-03-23T22:27:10Z,22.92,51.16,1181.3,150.9
2026-03-23T22:27:20Z,22.91,51.09,1185.4,150.2
2026-03-23T22:27:30Z,22.90,51.15,1189.8,149.8
2026-03-23T22:27:40Z,22.90,51.21,1188.9,150.6
2026-03-23T22:27:50Z,22.89,51.22,1188.0,149.6
2026-03-23T22:28:00Z,22.89,51.22,1191.7,149.6
2026-03-23T22:28:10Z,22.90,51.24,1187.1,150.0
2026-03-23T22:28:20Z,22.90,51.19,1190.9,150.6
2026-03-23T22:28:30Z,22.88,51.14,1186.6,149.8
2026-03-23T22:28:40Z,22.87,51.06,1188.0,150.2
2026-03-23T22:28:50Z,22.86,51.18,1191.9,149.4
2026-03-23T22:29:00Z,22.87,51.12,1190.4,147.6
2026-03-23T22:29:10Z,22.86,51.13,1191.0,148.9
2026-03-23T22:29:20Z,22.86,51.13,1188.7,149.0
2026-03-23T22:29:30Z,22.85,51.11,1191.8,149.0
2026-03-23T22:29:40Z,22.86,51.15,1193.3,149.9
2026-03-23T22:29:50Z,22.86,51.12,1191.2,149.7
2026-03-23T22:30:00Z,22.87,51.12,1189.5,149.3
2026-03-23T22:30:10Z,22.87,51.17,1192.3,148.3
2026-03-23T22:30:20Z,22.88,51.22,1193.2,148.1
2026-03-23T22:30:30Z,22.88,51.21,1194.4,149.2
2026-03-23T22:30:40Z,22.88,51.17,1194.2,149.2
2026-03-23T22:30:50Z,22.90,51.18,1193.9,151.2
2026-03-23T22:31:00Z,22.88,51.17,1193.1,150.6
2026-03-23T22:31:10Z,22.88,51.18,1192.2,150.8
2026-03-23T22:31:20Z,22.90,51.15,1190.7,151.7
2026-03-23T22:31:30Z,22.89,51.13,1190.3,151.3
2026-03-23T22:31:40Z,22.90,51.14,1186.8,152.0
2026-03-23T22:31:50Z,22.90,51.17,1188.7,152.9
2026-03-23T22:32:00Z,22.87,51.13,1192.1,152.7
2026-03-23T22:32:10Z,22.84,51.15,1194.0,152.8
2026-03-23T22:32:20Z,22.84,51.07,1200.3,153.2
2026-03-23T22:32:30Z,22.82,51.01,1198.7,152.8
2026-03-23T22:32:40Z,22.84,51.07,1201.3,153.2
2026-03-23T22:32:50Z,22.85,50.96,1201.5,153.6
2026-03-23T22:33:00Z,22.84,51.03,1202.7,153.0
2026-03-23T22:33:10Z,22.85,51.05,1204.4,153.0
2026-03-23T22:33:20Z,22.85,51.09,1202.4,153.6
2026-03-23T22:33:30Z,22.85,51.18,1201.9,153.1
2026-03-23T22:33:40Z,22.87,51.16,1200.3,153.8
2026-03-23T22:33:50Z,22.87,51.19,1199.0,153.6
2026-03-23T22:34:00Z,22.90,51.23,1199.4,152.0
2026-03-23T22:34:10Z,22.86,51.31,1199.2,153.5
2026-03-23T22:34:20Z,22.86,51.32,1198.1,155.2
2026-03-23T22:34:30Z,22.85,51.32,1198.2,155.5
2026-03-23T22:34:40Z,22.86,51.29,1203.2,155.2
2026-03-23T22:34:50Z,22.85,51.23,1202.8,155.3
2026-03-23T22:35:00Z,22.85,51.24,1203.1,154.6
2026-03-23T22:35:10Z,22.84,51.27,1200.7,154.3
2026-03-23T22:35:20Z,22.86,51.23,1202.6,155.3
2026-03-23T22:35:30Z,22.89,51.19,1203.2,155.8
